idx,x,y,observable
107,0.2381579364,0.4656328886,2.27353319
108,0.2381579364,0.4656328886,2.27353319
109,-0.3467746719,0.203594532,2.161703407
110,-0.3467746719,0.203594532,2.161703407
111,-0.3467746719,0.203594532,2.161703407
112,-0.3467746719,0.203594532,2.161703407
113,-0.3467746719,0.203594532,2.161703407
114,-0.3467746719,0.203594532,2.161703407
115,-0.4756079398,0.1481667532,2.248156299
116,-0.146646707,0.6337493262,2.423143465
117,-0.146646707,0.6337493262,2.423143465
118,-0.146646707,0.6337493262,2.423143465
119,-0.8139974748,0.05096471579,2.665189291
120,-0.8139974748,0.05096471579,2.665189291
121,0.04902194359,0.8163711541,2.668865012
122,0.04902194359,0.8163711541,2.668865012
123,0.04902194359,0.8163711541,2.668865012
124,1.235309207,0.1694310542,3.55469572
125,1.235309207,0.1694310542,3.55469572
126,1.235309207,0.1694310542,3.55469572
127,1.375705081,0.934947646,4.766691569
128,1.375705081,0.934947646,4.766691569
129,1.253828529,1.691543383,6.433404995
130,1.253828529,1.691543383,6.433404995
131,1.253828529,1.691543383,6.433404995
132,1.116238149,1.498590336,5.4917606
133,1.713689156,0.8579043024,5.672730315
134,1.31774968,0.8852943654,4.520210332
135,0.9721776329,1.586940023,5.463507985
136,0.9721776329,1.586940023,5.463507985
137,0.9721776329,1.586940023,5.463507985
138,0.9721776329,1.586940023,5.463507985
139,0.9721776329,1.586940023,5.463507985
140,0.2298000569,0.5178157715,2.320941239
141,0.2298000569,0.5178157715,2.320941239
142,0.2298000569,0.5178157715,2.320941239
143,0.5887152396,0.4420657073,2.542007723
144,0.5887152396,0.4420657073,2.542007723
145,0.5887152396,0.4420657073,2.542007723
146,0.5887152396,0.4420657073,2.542007723
147,0.5887152396,0.4420657073,2.542007723
148,-0.3048648668,0.7299034139,2.625701581
149,-0.9277932695,0.3228208542,2.965013655
150,-1.178914128,0.0004334522101,3.38983871
151,-1.178914128,0.0004334522101,3.38983871
152,-1.178914128,0.0004334522101,3.38983871
153,-0.8892059292,0.70350877,3.285611774
154,-0.8892059292,0.70350877,3.285611774
155,0.6018164372,1.089758483,3.549756575
156,0.6018164372,1.089758483,3.549756575
157,0.4840835781,1.256060091,3.812023863
158,0.4840835781,1.256060091,3.812023863
159,0.4840835781,1.256060091,3.812023863
160,0.4840835781,1.256060091,3.812023863
161,-0.6819141518,0.9934661074,3.451981817
162,-0.6819141518,0.9934661074,3.451981817
163,-0.6819141518,0.9934661074,3.451981817
164,-0.6819141518,0.9934661074,3.451981817
165,-0.6703979782,0.9042374462,3.267078808
166,0.1663073353,1.95434882,5.847137441
167,0.1663073353,1.95434882,5.847137441
168,0.1663073353,1.95434882,5.847137441
169,0.5042609276,0.4972810309,2.501567507
170,0.01470096845,0.3403413546,2.116048356
171,0.01470096845,0.3403413546,2.116048356
172,0.01470096845,0.3403413546,2.116048356
173,-0.2853890013,0.0179519351,2.081769154
174,0.6616505345,0.6341647554,2.839946367
175,0.4586431854,0.6203129158,2.595141685
176,0.4586431854,0.6203129158,2.595141685
177,0.4586431854,0.6203129158,2.595141685
178,1.49571186,1.653882208,6.972480324
179,1.49571186,1.653882208,6.972480324
180,0.8257246636,1.528054965,5.016773196
181,0.8257246636,1.528054965,5.016773196
182,0.1789933222,1.249355469,3.592927698
183,0.1789933222,1.249355469,3.592927698
184,0.1789933222,1.249355469,3.592927698
185,0.1789933222,1.249355469,3.592927698
186,0.9045608992,0.6307319701,3.216053238
187,0.5151535725,1.178940246,3.655283306
188,0.5151535725,1.178940246,3.655283306
189,0.5151535725,1.178940246,3.655283306
190,1.400559829,0.7877324914,4.582090313
191,1.400559829,0.7877324914,4.582090313
192,1.400559829,0.7877324914,4.582090313
193,1.126142295,1.144246843,4.577497305
194,1.180968169,1.31726062,5.129861358
195,1.180968169,1.31726062,5.129861358
196,1.180968169,1.31726062,5.129861358
197,1.180968169,1.31726062,5.129861358
198,1.180968169,1.31726062,5.129861358
199,1.062387126,0.4396994911,3.322002049
200,1.062387126,0.4396994911,3.322002049
201,0.5187872838,0.4809256894,2.500429765
202,0.5187872838,0.4809256894,2.500429765
203,-0.1155855812,0.1674758564,2.041408189
204,-0.1155855812,0.1674758564,2.041408189
205,-0.1155855812,0.1674758564,2.041408189
206,-0.1155855812,0.1674758564,2.041408189
207,-0.1155855812,0.1674758564,2.041408189
208,-0.1155855812,0.1674758564,2.041408189
209,-0.1155855812,0.1674758564,2.041408189
210,-0.1155855812,0.1674758564,2.041408189
211,-0.1155855812,0.1674758564,2.041408189
212,-0.05455320993,1.095368873,3.202809021
213,-0.7631908714,0.2297715293,2.635255262
214,-1.087909612,0.2670960007,3.254887598
215,-1.087909612,0.2670960007,3.254887598
216,-1.087909612,0.2670960007,3.254887598
217,-1.087909612,0.2670960007,3.254887598
218,-1.477244788,0.1484479747,4.204288964
219,-1.477244788,0.1484479747,4.204288964
220,-1.477244788,0.1484479747,4.204288964
221,-1.477244788,0.1484479747,4.204288964
222,-1.477244788,0.1484479747,4.204288964
223,0.2848795512,0.630402723,2.478563952
224,0.2848795512,0.630402723,2.478563952
225,0.2848795512,0.630402723,2.478563952
226,0.2848795512,0.630402723,2.478563952
227,0.2655919872,0.3286486894,2.178549065
